from,to,weight
Zonta,Diniz,3
Zonta,Heidfeld,1
Zonta,Gene,2
Zonta,R.Schumacher,1
Zonta,Fisichella,1
Salo,Mazzacane,2
Zonta,Verstappen,1
Salo,Gene,1
Gene,Fisichella,1
De La Rosa,Wurz,1
Button,Alesi,2
M.Schumacher,Coulthard,3
Button,Heidfeld,8
De La Rosa,Zonta,1
Button,Barrichello,17
Button,Herbert,1
Herbert,Villeneuve,1
Coulthard,Gene,1
Coulthard,Zonta,2
Heidfeld,Alesi,2
Coulthard,De La Rosa,2
Button,R.Schumacher,2
Heidfeld,Trulli,12
Zonta,Herbert,1
Zonta,Button,1
Verstappen,Gene,1
Trulli,Mazzacane,3
Salo,Herbert,2
Gene,R.Schumacher,1
Hakkinen,Mazzacane,1
Verstappen,Button,11
Fisichella,Zonta,2
Bernoldi,Burti,1
Panis,Heidfeld,6
Irvine,Marquez,2
Montoya,Fisichella,4
Raikkonen,Alesi,1
Burti,Alesi,2
Irvine,Alonso,1
Raikkonen,Button,24
Raikkonen,Fisichella,11
Montoya,Trulli,10
Verstappen,Alesi,2
R.Schumacher,Alonso,2
Bernoldi,Button,4
R.Schumacher,Marquez,1
Montoya,Irvine,2
Barrichello,Mazzacane,1
M.Schumacher,Mazzacane,1
Button,Marquez,5
M.Schumacher,Verstappen,1
R.Schumacher,Burti,1
Marquez,Button,2
Fisichella,Marquez,1
Alesi,Marquez,3
Burti,Marquez,2
Alonso,Marquez,2
Montoya,M.Schumacher,4
Mazzacane,Button,1
Alonso,Button,29
Panis,Raikkonen,2
Villeneuve,Button,8
Villeneuve,Alonso,2
Villeneuve,Marquez,1
Burti,Verstappen,1
Heidfeld,Irvine,2
Verstappen,Burti,2
Mazzacane,Marquez,1
Bernoldi,Fisichella,2
De La Rosa,Alonso,3
Frentzen,Alonso,1
Coulthard,Marquez,2
Coulthard,Heidfeld,5
Raikkonen,Irvine,3
Bernoldi,Irvine,5
Bernoldi,Villeneuve,2
Villeneuve,Burti,1
Alesi,Burti,2
M.Schumacher,Raikkonen,1
Montoya,Panis,4
Heidfeld,Button,4
Coulthard,Burti,1
Verstappen,Marquez,3
Verstappen,Alonso,15
Coulthard,Alonso,2
Bernoldi,Marquez,2
Hakkinen,Raikkonen,1
Irvine,Raikkonen,1
Burti,Button,1
Button,Fisichella,10
Panis,Burti,1
Burti,Fisichella,1
Heidfeld,Frentzen,1
Panis,Button,2
Panis,Zonta,1
Button,Bernoldi,1
Button,Alonso,26
Montoya,R.Schumacher,9
Panis,Bernoldi,1
Fisichella,Yoong,1
Verstappen,De La Rosa,1
Raikkonen,De La Rosa,2
Heidfeld,Enge,1
Fisichella,Enge,1
Villeneuve,Bernoldi,3
Alonso,Irvine,1
Enge,Irvine,1
Barrichello,Montoya,8
Alesi,Raikkonen,1
Hakkinen,Bernoldi,1
Raikkonen,Verstappen,6
Enge,Bernoldi,1
Heidfeld,R.Schumacher,4
Montoya,Barrichello,6
